Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell cycle phase]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[cell cycle phase]	Factor Value[single cell identifier]
S33	ERS1979266	SAMEA104354288	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S33	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	707	798	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S33	sequencing assay	ERX2233612	2015_02_12_6C_plate_3_S33_L000_R1_001.fastq.gz	2015_02_12_6C_plate_3_S33_L000_R1_001.fastq.gz	ERR2177249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2177249/ERR2177249_1.fastq.gz	102	52	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S33
S33	ERS1979266	SAMEA104354288	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S33	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	707	798	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S33	sequencing assay	ERX2233612	2015_02_12_6C_plate_3_S33_L000_R2_001.fastq.gz	2015_02_12_6C_plate_3_S33_L000_R2_001.fastq.gz	ERR2177249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/009/ERR2177249/ERR2177249_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S33
S41	ERS1979267	SAMEA104354289	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S41	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	609	675	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S41	sequencing assay	ERX2233613	2015_02_12_7C_plate_3_S41_L000_R1_001.fastq.gz	2015_02_12_7C_plate_3_S41_L000_R1_001.fastq.gz	ERR2177250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2177250/ERR2177250_1.fastq.gz	300	151	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S41
S41	ERS1979267	SAMEA104354289	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S41	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	609	675	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S41	sequencing assay	ERX2233613	2015_02_12_7C_plate_3_S41_L000_R2_001.fastq.gz	2015_02_12_7C_plate_3_S41_L000_R2_001.fastq.gz	ERR2177250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/000/ERR2177250/ERR2177250_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S41
S49	ERS1979268	SAMEA104354290	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S49	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	606	681	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S49	sequencing assay	ERX2233614	2015_02_12_8C_plate_3_S49_L000_R1_001.fastq.gz	2015_02_12_8C_plate_3_S49_L000_R1_001.fastq.gz	ERR2177251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2177251/ERR2177251_1.fastq.gz	296	149	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S49
S49	ERS1979268	SAMEA104354290	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	S	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S49	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	606	681	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S49	sequencing assay	ERX2233614	2015_02_12_8C_plate_3_S49_L000_R2_001.fastq.gz	2015_02_12_8C_plate_3_S49_L000_R2_001.fastq.gz	ERR2177251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/001/ERR2177251/ERR2177251_2.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	S	S49
S65	ERS1979269	SAMEA104354291	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S65	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	513	582	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S65	sequencing assay	ERX2233615	2015_02_12_9A_plate_4_S65_L000_R1_001.fastq.gz	2015_02_12_9A_plate_4_S65_L000_R1_001.fastq.gz	ERR2177252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2177252/ERR2177252_1.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S65
S65	ERS1979269	SAMEA104354291	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S65	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	513	582	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S65	sequencing assay	ERX2233615	2015_02_12_9A_plate_4_S65_L000_R2_001.fastq.gz	2015_02_12_9A_plate_4_S65_L000_R2_001.fastq.gz	ERR2177252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/002/ERR2177252/ERR2177252_2.fastq.gz	80	41	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S65
S74	ERS1979270	SAMEA104354292	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S74	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	436	471	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S74	sequencing assay	ERX2233616	2015_02_13_10B_plate_4_S74_L000_R1_001.fastq.gz	2015_02_13_10B_plate_4_S74_L000_R1_001.fastq.gz	ERR2177253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2177253/ERR2177253_1.fastq.gz	302	152	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S74
S74	ERS1979270	SAMEA104354292	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S74	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	436	471	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S74	sequencing assay	ERX2233616	2015_02_13_10B_plate_4_S74_L000_R2_001.fastq.gz	2015_02_13_10B_plate_4_S74_L000_R2_001.fastq.gz	ERR2177253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/003/ERR2177253/ERR2177253_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S74
S77	ERS1979271	SAMEA104354293	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S77	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	867	995	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S77	sequencing assay	ERX2233617	2015_02_13_10C_plate_3_S77_L000_R1_001.fastq.gz	2015_02_13_10C_plate_3_S77_L000_R1_001.fastq.gz	ERR2177254	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2177254/ERR2177254_1.fastq.gz	300	151	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S77
S77	ERS1979271	SAMEA104354293	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S77	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	867	995	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S77	sequencing assay	ERX2233617	2015_02_13_10C_plate_3_S77_L000_R2_001.fastq.gz	2015_02_13_10C_plate_3_S77_L000_R2_001.fastq.gz	ERR2177254	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/004/ERR2177254/ERR2177254_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S77
S75	ERS1979272	SAMEA104354294	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S75	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	582	626	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S75	sequencing assay	ERX2233618	2015_02_13_10C_plate_4_S75_L000_R1_001.fastq.gz	2015_02_13_10C_plate_4_S75_L000_R1_001.fastq.gz	ERR2177255	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2177255/ERR2177255_1.fastq.gz	300	151	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S75
S75	ERS1979272	SAMEA104354294	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S75	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	582	626	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S75	sequencing assay	ERX2233618	2015_02_13_10C_plate_4_S75_L000_R2_001.fastq.gz	2015_02_13_10C_plate_4_S75_L000_R2_001.fastq.gz	ERR2177255	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/005/ERR2177255/ERR2177255_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S75
S76	ERS1979273	SAMEA104354295	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S76	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	612	669	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S76	sequencing assay	ERX2233619	2015_02_13_10D_plate_4_S76_L000_R1_001.fastq.gz	2015_02_13_10D_plate_4_S76_L000_R1_001.fastq.gz	ERR2177256	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2177256/ERR2177256_1.fastq.gz	214	108	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S76
S76	ERS1979273	SAMEA104354295	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S76	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	612	669	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S76	sequencing assay	ERX2233619	2015_02_13_10D_plate_4_S76_L000_R2_001.fastq.gz	2015_02_13_10D_plate_4_S76_L000_R2_001.fastq.gz	ERR2177256	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/006/ERR2177256/ERR2177256_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S76
S78	ERS1979274	SAMEA104354296	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S78	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	679	745	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S78	sequencing assay	ERX2233620	2015_02_13_10F_plate_4_S78_L000_R1_001.fastq.gz	2015_02_13_10F_plate_4_S78_L000_R1_001.fastq.gz	ERR2177257	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2177257/ERR2177257_1.fastq.gz	300	151	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S78
S78	ERS1979274	SAMEA104354296	Homo sapiens	MLS 1765-92	myxoid liposarcoma	adipose tissue	G2/M	cell	P-MTAB-68727	P-MTAB-68726	P-MTAB-68728	P-MTAB-68729	S78	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	679	745	5'-3'-3'-5'	P-MTAB-68730	Genomics Core facility at the University of Gothenburg	S78	sequencing assay	ERX2233620	2015_02_13_10F_plate_4_S78_L000_R2_001.fastq.gz	2015_02_13_10F_plate_4_S78_L000_R2_001.fastq.gz	ERR2177257	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR217/007/ERR2177257/ERR2177257_2.fastq.gz	64	33	P-MTAB-68731	P-MTAB-68732	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6142/E-MTAB-6142.processed.1.zip	G2/M	S78
